Was kennzeichnet die „Komplexe PTBS“ nach ICD-11 zusätzlich zur klassischen PTBS?,"Probleme der Affektregulation, ein negatives Selbstbild (Wertlosigkeit) und dauerhafte Beziehungsschwierigkeiten."
Definition: Peritraumatische Faktoren,"Bedingungen während des Traumas, wie die Schwere des Ereignisses und die unmittelbare emotionale Reaktion."
Welche Erklärung bietet das neurobiologische Modell für die mangelnde willentliche Kontrolle von PTBS-Symptomen?,Eine Überaktivität des Angstzentrums (Amygdala) bei gleichzeitiger Unteraktivität des Regulationszentrums (Präfrontaler Kortex).
Welche strukturelle Auswirkung kann eine chronische PTBS auf das Gehirn haben?,"Eine Volumenminderung (Atrophie) im Bereich des Hippocampus, der für das Gedächtnis zuständig ist."
Welche Form der Psychotherapie gilt als „Goldstandard“ bei der PTBS?,Traumafokussierte Kognitive Verhaltenstherapie (z. B. Prolonged Exposure) oder EMDR.
Welchen Stellenwert hat die Psychopharmakologie bei der Behandlung von PTBS?,Sie steht nicht im Mittelpunkt und sollte nur ergänzend zur Psychotherapie nach sorgfältiger Abwägung eingesetzt werden.
Warum ist Beratung für Klienten mit PTBS wichtig?,"Sie dient der ersten Stabilisierung, Vermittlung von Hoffnung und Unterstützung bei der sozialen Neuorientierung."
Nenne zwei Techniken der Ressourcenarbeit bei PTBS-Patienten.,Die „Safe Place“-Übung und die Arbeit mit dem „Inneren Helfer“.
Definition: Kognitive Umstrukturierung,"Ein Verfahren zur Veränderung belastender, dysfunktionaler Gedankenmuster in hilfreiche, funktionale Kognitionen."
Nenne die drei wesentlichen Therapieschritte der Kognitiven Umstrukturierung.,"1. Psychoedukation, 2. Aufdecken dysfunktionaler Gedanken, 3. Veränderung der Gedanken."
Welche Kognitionen führen nach Albert Ellis (ABC-Modell) zu psychischen Störungen?,"Irrationale Bewertungen (Beliefs), wie z. B. absolutes Forderungsdenken („Ich muss...“) oder Katastrophisieren."
Welche Ziele werden mit der Kognitiven Umstrukturierung verfolgt?,Die Reduktion psychischer Belastung sowie die Förderung adaptiven Verhaltens und emotionaler Selbstregulation.
Welche Rolle spielen Kognitionen laut KVT für Gefühle und Verhalten?,"Sie wirken als Vermittler: Nicht die Situation selbst, sondern die Bewertung der Situation bestimmt Gefühl und Reaktion."
Wie wirkt Kognitive Umstrukturierung aus neurobiologischer Sicht?,Sie stärkt die „Top-Down“-Kontrolle des präfrontalen Kortex über die emotionalen Impulse der Amygdala.
Wo liegt der Schwerpunkt der Analyse im klinischen ABC-Modell?,"Auf dem „B“ (Beliefs), also den kognitiven Bewertungsprozessen zwischen Auslöser und Konsequenz."
Welche Art von Erwartungen spielt eine zentrale Rolle bei der menschlichen Selbstregulation?,Selbstwirksamkeitserwartungen (Glaube an eigene Fähigkeiten) und Handlungsergebniserwartungen.
Was sind „Metakognitionen“ im Kontext psychischer Störungen?,"Gedanken über das eigene Denken, wie z. B. „Meine Sorgen sind unkontrollierbar“ oder „Grübeln hilft mir beim Problemlösen“."
Was ist das Ziel des „Sokratischen Dialogs“?,"Durch gezieltes Fragen den Klienten dazu anzuleiten, Widersprüche in seinen Gedanken selbst zu entdecken (geleitete Entdeckung)."
