Was unterscheidet 'Altruismus' von allgemeinem prosozialem Verhalten?,"Altruismus bezeichnet Hilfeleistungen, die ohne Erwartung von äußeren Belohnungen, oft unter persönlichem Opfer, erbracht werden."
Was beschreibt der 'Bystander-Effekt'?,"Die Wahrscheinlichkeit, dass ein Zeuge bei einem Notfall hilft, sinkt mit der Anzahl der anwesenden Zuschauer."
Was versteht man unter 'Pluralistischer Ignoranz' im Kontext von Notfällen?,"Zuschauer orientieren sich an der Passivität anderer und schlussfolgern fälschlicherweise, dass kein Notfall vorliegt."
Wie erklärt die 'Verantwortungsdiffusion' das Ausbleiben von Hilfe?,"Das Gefühl der persönlichen Verantwortung nimmt ab, weil man glaubt, dass andere ebenso oder eher helfen könnten."
Nenne die fünf Stufen des kognitiven Entscheidungsmodells des Hilfeverhaltens von Latané und Darley.,"Ereignis bemerken, als Notfall interpretieren, Verantwortung übernehmen, Kompetenz entscheiden, Hilfe leisten."
Was ist die Funktion von 'Wahrnehmungsfiltern' in der sozialen Wahrnehmung?,"Sie selektieren Informationen aus der Umwelt, um die kognitive Belastung zu reduzieren, führen aber oft zu Verzerrungen."
Definiere 'Veränderungsblindheit' (Change Blindness).,"Das Unvermögen, deutliche Veränderungen in einer visuellen Szenerie zu bemerken, wenn diese während einer kurzen Unterbrechung auftreten."
Was untersucht die 'Attributionstheorie'?,Wie Menschen Ursachen für das Verhalten von sich selbst und anderen zuschreiben (Ursachenerklärung).
Welche zwei grundlegenden Ursachenlokationen unterschied Fritz Heider?,Internale (in der Person liegende) und externale (in der Situation liegende) Faktoren.
Welche drei Ursachendimensionen beschreibt Bernard Weiner?,"Lokation (internal/external), Stabilität (stabil/variabel) und Kontrollierbarkeit."
Was beschreibt der 'Fundamentale Attributionsfehler'?,"Die Tendenz, den Einfluss situationaler Faktoren zu unterschätzen und den Einfluss dispositionaler Faktoren (Persönlichkeit) zu überschätzen."
Was ist der Kerngegenstand der Gesundheitspsychologie?,"Die Untersuchung psychologischer Prozesse, die Gesundheit fördern, erhalten und zur Bewältigung von Krankheiten beitragen."
Welche Rolle spielt 'Soziale Unterstützung' für die Gesundheit?,Sie fungiert als Puffer gegen Stress und stärkt die physische sowie psychische Widerstandsfähigkeit.
Was beschreibt das Konzept der 'Expressed Emotions'?,"Das Ausmaß an Kritik, Feindseligkeit und emotionalem Überengagement, das Angehörige gegenüber einem kranken Familienmitglied zeigen."
Was besagt das Yerkes-Dodson-Gesetz?,Dass es ein optimales Erregungsniveau für maximale Leistung gibt; zu niedrige oder zu hohe Erregung mindern die Leistung.
Welche Stressreaktion beschrieb Walter Cannon?,Die 'Fight-or-Flight'-Reaktion (Kampf-oder-Flucht) als unmittelbare energetische Aktivierung.
Nenne die drei Phasen des Allgemeinen Adaptationssyndroms nach Hans Selye.,"Alarmphase, Widerstandsphase und Erschöpfungsphase."
Was kennzeichnet eine 'Veränderungskrise'?,"Sie entsteht durch vorhersehbare Lebensereignisse oder Übergänge (z. B. Pubertät, Rente) und erfordert eine Neuorientierung."
Wodurch zeichnet sich eine 'traumatische Krise' aus?,"Durch plötzliche, unvorhersehbare und existenzbedrohende Ereignisse von massiver Intensität."
Nenne zwei Beispiele für 'Personenressourcen'.,"Selbstwirksamkeit, Fachwissen oder physische Konstitution."
Nenne zwei Beispiele für 'Umweltressourcen'.,"Soziale Netzwerke, finanzielle Sicherheit oder ein stabiles Wohnumfeld."
Wie unterscheiden sich subjektive und objektive Ressourcen?,Objektive Ressourcen sind faktisch vorhanden; subjektive Ressourcen basieren auf der individuellen Wahrnehmung und Bewertung.
Warum ist Psychologie eine wichtige Grundlage für die Soziale Arbeit?,Weil soziale Probleme oft psychische Probleme erzeugen (und umgekehrt) und Psychologie Methoden zur Problemlösung bietet.
Welche Zielsetzung verfolgt die klassische empirische Methode des Experiments?,Die Prüfung von Kausalzusammenhängen durch die systematische Variation von Bedingungen.
Was ist im Experiment die 'unabhängige Variable' (UV)?,"Die Variable, die vom Forscher aktiv verändert wird, um ihre Wirkung zu untersuchen."
Was ist im Experiment die 'abhängige Variable' (AV)?,"Die Variable, an der die Wirkung der Veränderung der unabhängigen Variable gemessen wird."
Hans Selye bezeichnete Stress metaphorisch als _____.,Würze des Lebens
"Der professionelle Umgang mit Menschen in sozialen Notlagen erfordert wissenschaftlich fundierte Methoden wie _____, _____ oder _____.","Einzelfallhilfe, Gruppenarbeit oder Gemeinwesenarbeit"
Die Psychologie wird definiert als Wissenschaft vom _____ und _____ der Individuen.,Handeln und Erleben
Was ist die zentrale Aufgabe der Schulsozialarbeit bei Gewaltphänomenen unter Schülern?,Krisenintervention und Durchführung von Trainings zur Gewaltprävention.
"Welches Experiment wird oft herangezogen, um zu klären, warum Menschen bereit sind, andere zu foltern?",Das Milgram-Experiment zum Gehorsam gegenüber Autoritäten.
In Weiner's Modell: Ist 'Fähigkeit' eine internale oder externale Ursache?,Internal (innerhalb der Person liegend).
In Weiner's Modell: Gilt 'Anstrengung' als stabile oder variable Ursache?,Variabel (da sie von Situation zu Situation schwanken kann).
"Welcher Prozess findet statt, wenn eine Mehrheit ihre Meinung ändert, um nicht aufzufallen?",Konformität (öffentliche Compliance).
"Wie nennt man die psychologische Lehre, die sich mit der 'Gesunderhaltung' befasst?",Salutogenese
Welche Disziplin der Psychologie befasst sich spezifisch mit dem 'Leben mit psychischen Störungen'?,Klinische Psychologie
Ebene sozialer Systeme: Welches System steht über der Organisation?,Die Gesellschaft (Makro-Ebene).
Was ist ein 'Wahrnehmungsfilter'?,"Ein kognitiver Mechanismus, der bestimmt, welche Umweltreize ins Bewusstsein dringen und welche ignoriert werden."
Was beschreibt die 'Reaktionsphase' in einer Veränderungskrise?,"Die Phase, in der Gefühle wie Angst, Wut oder Trauer nach dem ersten Schock verarbeitet werden."
Warum ist das Milgram-Experiment heute ethisch umstritten?,"Wegen der extremen psychischen Belastung der Versuchspersonen, die glaubten, anderen Schmerzen zuzufügen."
"Nenne ein Beispiel für psychosoziale Probleme, die Gegenstand der Sozialen Arbeit sind.","Familienkonflikte, Isolation, Armut, Gewalt oder Verhaltensauffälligkeiten."
"Welche Ursachendimension beschreibt, ob eine Ursache zeitlich von Dauer ist?",Die Stabilität.
